time,ts_iso,ax,ay,az,wx,wy,wz,roll,pitch,yaw,acc_mag,gyro_mag,baseline_acc,vib,envelope,threshold,enhanced,is_above,is_peak_confirmed
1783053544.9478986,2026-07-03T13:39:04.947,-0.0087890625,0.01025390625,1.0458984375,-0.06103515625,0.0,0.0,0.46142578125,0.3955078125,31.4923095703125,1.0459856269461614,0.06103515625,1.0435566477513523,0.002428979194809111,0.00107886779810649,0.02,0.00107886779810649,0,0
1783053544.9478986,2026-07-03T13:39:04.947,-0.00732421875,0.01171875,1.044921875,-0.06103515625,0.0,0.0,0.46142578125,0.3955078125,31.475830078125,1.045013252612318,0.06103515625,1.0435566477513523,0.0014566048609656601,0.0011544152106783242,0.02,0.0011544152106783242,0,0
1783053544.9478986,2026-07-03T13:39:04.947,-0.0068359375,0.0107421875,1.04248046875,-0.06103515625,-0.06103515625,0.0,0.46142578125,0.3900146484375,31.46484375,1.042558224925116,0.08631674575031098,1.0435571618025443,0.000998936877428358,0.0011233195440283309,0.02,0.0011233195440283309,0,0
1783053544.9478986,2026-07-03T13:39:04.947,-0.0078125,0.01123046875,1.04345703125,0.06103515625,0.0,0.0,0.4669189453125,0.3900146484375,31.4483642578125,1.0435467093760864,0.06103515625,1.0435566477513523,9.938375265861055e-06,0.0009006433102758369,0.02,0.0009006433102758369,0,0
1783053544.9478986,2026-07-03T13:39:04.947,-0.00732421875,0.01025390625,1.04248046875,0.0,0.1220703125,0.0,0.4669189453125,0.3955078125,31.431884765625,1.042556624121156,0.1220703125,1.0435566477513523,0.001000023630196356,0.0009205193742599408,0.02,0.0009205193742599408,0,0
1783053544.9478986,2026-07-03T13:39:04.947,-0.0078125,0.01123046875,1.04296875,0.0,0.0,0.0,0.4669189453125,0.3955078125,31.4208984375,1.0430584701066175,0.0,1.0435566477513523,0.0004981776447348096,0.0008360510283549146,0.02,0.0008360510283549146,0,0
1783053544.9478986,2026-07-03T13:39:04.947,-0.00732421875,0.01025390625,1.0439453125,-0.06103515625,0.0,0.0,0.4669189453125,0.3955078125,31.4044189453125,1.0440213610192104,0.06103515625,1.0435562479334084,0.0004651130858019936,0.0007618634398443305,0.02,0.0007618634398443305,0,0
1783053544.9478986,2026-07-03T13:39:04.947,-0.0078125,0.01123046875,1.04150390625,0.06103515625,0.0,0.0,0.4669189453125,0.3955078125,31.387939453125,1.041593752534357,0.06103515625,1.0435566477513523,0.0019628952169952196,0.0010020697952745085,0.02,0.0010020697952745085,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.0068359375,0.0126953125,1.0439453125,0.0,0.0,0.0,0.4669189453125,0.3955078125,31.376953125,1.0440448824124848,0.0,1.0435571618025443,0.0004877206099405118,0.0008991999582077092,0.02,0.0008991999582077092,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.0087890625,0.01171875,1.04443359375,0.0,0.0,0.0,0.4669189453125,0.3955078125,31.3604736328125,1.044536312664491,0.0,1.0435576758537364,0.0009786368107547183,0.0009150873287171111,0.02,0.0009150873287171111,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.0078125,0.01025390625,1.04296875,0.0,0.0,0.0,0.4669189453125,0.3955078125,31.3494873046875,1.0430484126953055,0.0,1.0435576758537364,0.0005092631584309171,0.0008339224946598724,0.02,0.0008339224946598724,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.00732421875,0.01171875,1.044921875,0.0,0.1220703125,0.0,0.4669189453125,0.3955078125,31.3330078125,1.045013252612318,0.1220703125,1.0435576758537364,0.001455576758581545,0.0009582533474442069,0.02,0.0009582533474442069,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.005859375,0.01123046875,1.04150390625,0.0,0.0,0.0,0.4669189453125,0.3955078125,31.3165283203125,1.0415809341754216,0.0,1.0435576758537364,0.001976741678314742,0.001161951013618314,0.02,0.001161951013618314,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.00390625,0.0107421875,1.04296875,0.06103515625,0.0,0.0,0.4669189453125,0.3955078125,31.3055419921875,1.0430313834482212,0.06103515625,1.0435576758537364,0.0005262924055151608,0.0010348192919976834,0.02,0.0010348192919976834,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.00537109375,0.0107421875,1.04248046875,-0.06103515625,0.06103515625,0.0,0.4669189453125,0.3955078125,31.2890625,1.042549649160929,0.08631674575031098,1.0435571618025443,0.0010075126416153601,0.0010293579619212187,0.02,0.0010293579619212187,0,0
1783053545.0086877,2026-07-03T13:39:05.008,-0.0107421875,0.01123046875,1.044921875,-0.06103515625,0.06103515625,0.0,0.4669189453125,0.3955078125,31.278076171875,1.0450374361113317,0.08631674575031098,1.0435566477513523,0.0014807883599794458,0.0011196440415328643,0.02,0.0011196440415328643,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.00537109375,0.0087890625,1.04248046875,-0.06103515625,0.0,0.0,0.4669189453125,0.3955078125,31.2615966796875,1.0425313539615584,0.06103515625,1.0435576758537364,0.0010263218921779949,0.0011009796116618906,0.02,0.0011009796116618906,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.00537109375,0.01123046875,1.04296875,-0.06103515625,-0.06103515625,0.0,0.472412109375,0.3955078125,31.2506103515625,1.043043041083626,0.08631674575031098,1.0435576758537364,0.0005146347701103782,0.0009837106433515882,0.02,0.0009837106433515882,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.00634765625,0.0126953125,1.04541015625,0.0,0.0,0.0,0.472412109375,0.3955078125,31.234130859375,1.045506508105038,0.0,1.0435571618025443,0.0019493463024937707,0.0011768377751800248,0.02,0.0011768377751800248,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.00732421875,0.01123046875,1.04443359375,0.06103515625,-0.06103515625,0.0,0.472412109375,0.3955078125,31.22314453125,1.0445196500603435,0.08631674575031098,1.0435576758537364,0.0009619742066071524,0.0011338650614654503,0.02,0.0011338650614654503,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.0068359375,0.00927734375,1.04296875,0.0,0.0,0.0,0.472412109375,0.3955078125,31.2066650390625,1.043032412068351,0.0,1.0435576758537364,0.0005252637853854214,0.0010121448062494446,0.02,0.0010121448062494446,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.005859375,0.01171875,1.04296875,0.0,0.0,0.0,0.472412109375,0.3955078125,31.1956787109375,1.0430510413462593,0.0,1.0435576758537364,0.0005066345074771217,0.00091104274649498,0.02,0.00091104274649498,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.00830078125,0.01171875,1.04296875,0.0,-0.1220703125,0.0,0.472412109375,0.3955078125,31.17919921875,1.043067613123658,0.1220703125,1.0435571618025443,0.0004895486788862868,0.0008267439329732414,0.02,0.0008267439329732414,0,0
1783053545.0376875,2026-07-03T13:39:05.037,-0.0068359375,0.01123046875,1.0439453125,0.0,-0.06103515625,0.0,0.472412109375,0.3900146484375,31.168212890625,1.0440280977830871,0.06103515625,1.0435566477513523,0.0004714500317348769,0.0007556851527255686,0.02,0.0007556851527255686,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.005859375,0.01123046875,1.04443359375,-0.06103515625,0.0,0.0,0.472412109375,0.3900146484375,31.1517333984375,1.0445104056242214,0.06103515625,1.0435571618025443,0.0009532438216770522,0.0007951968865158653,0.02,0.0007951968865158653,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.0068359375,0.01318359375,1.04443359375,0.1220703125,0.0,0.0,0.472412109375,0.3900146484375,31.1407470703125,1.0445391658234788,0.1220703125,1.0435576758537364,0.000981489969742455,0.0008324555031611834,0.02,0.0008324555031611834,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.00537109375,0.0126953125,1.0419921875,-0.1220703125,0.06103515625,0.0,0.472412109375,0.3900146484375,31.124267578125,1.0420833644284795,0.13647875839232115,1.0435576758537364,0.0014743114252568912,0.0009608266875803249,0.02,0.0009608266875803249,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.00634765625,0.01318359375,1.04052734375,-0.06103515625,0.0,0.0,0.472412109375,0.3900146484375,31.11328125,1.040630219134282,0.06103515625,1.0435576758537364,0.00292745671945438,0.001354152693955136,0.02,0.001354152693955136,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.00732421875,0.01025390625,1.04443359375,0.0,-0.06103515625,0.0,0.472412109375,0.3900146484375,31.0968017578125,1.0445096067184934,0.06103515625,1.0435571618025443,0.0009524449159490356,0.001273811138353916,0.02,0.001273811138353916,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.00634765625,0.01318359375,1.04296875,0.0,0.06103515625,0.0,0.472412109375,0.3900146484375,31.0858154296875,1.0430713845948396,0.06103515625,1.0435576758537364,0.00048629125889676494,0.0011163071624624857,0.02,0.0011163071624624857,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.00634765625,0.01123046875,1.04345703125,0.0,0.06103515625,0.0,0.472412109375,0.3955078125,31.0693359375,1.04353677090617,0.06103515625,1.0435571618025443,2.039089637428937e-05,0.0008971239092448465,0.02,0.0008971239092448465,0,0
1783053545.0809915,2026-07-03T13:39:05.080,-0.00830078125,0.01171875,1.0439453125,0.0,0.0,0.0,0.4779052734375,0.3955078125,31.058349609375,1.044044083150537,0.0,1.0435566477513523,0.00048743539918483236,0.0008151862072328438,0.02,0.0008151862072328438,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.0087890625,0.009765625,1.04443359375,-0.06103515625,0.0,0.0,0.4779052734375,0.3955078125,31.0418701171875,1.0445162262046528,0.06103515625,1.0435571618025443,0.0009590644021084671,0.0008439618462079686,0.02,0.0008439618462079686,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.00732421875,0.01318359375,1.0439453125,0.06103515625,0.0,0.0,0.4779052734375,0.3955078125,31.0308837890625,1.0440542451497363,0.06103515625,1.0435576758537364,0.000496569295999949,0.0007744833361663648,0.02,0.0007744833361663648,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.00732421875,0.0126953125,1.0439453125,0.0,-0.1220703125,0.0,0.4779052734375,0.3900146484375,31.0198974609375,1.0440481936340358,0.1220703125,1.0435576758537364,0.0004905177802994043,0.0007176902249929727,0.02,0.0007176902249929727,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.0078125,0.01318359375,1.0439453125,0.0,-0.06103515625,0.0,0.4779052734375,0.3900146484375,31.00341796875,1.0440577846992654,0.06103515625,1.0435576758537364,0.0005001088455289793,0.000674173949100174,0.02,0.000674173949100174,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.00634765625,0.009765625,1.04541015625,0.0,0.06103515625,0.0,0.4779052734375,0.3900146484375,30.992431640625,1.0454750379431152,0.06103515625,1.0435588181879054,0.001916219755209836,0.0009225831103221064,0.02,0.0009225831103221064,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.00732421875,0.01025390625,1.044921875,0.0,0.1220703125,0.0,0.4779052734375,0.3900146484375,30.9759521484375,1.0449978524509977,0.1220703125,1.0435599605220747,0.001437891928923074,0.0010256448740423,0.02,0.0010256448740423,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.00634765625,0.01220703125,1.04443359375,0.06103515625,-0.06103515625,0.0,0.4779052734375,0.3900146484375,30.9649658203125,1.0445242151838063,0.08631674575031098,1.0435599605220747,0.0009642546617316672,0.0010133668315801736,0.02,0.0010133668315801736,0,0
1783053545.127734,2026-07-03T13:39:05.127,-0.005859375,0.01025390625,1.041015625,-0.06103515625,0.0,0.0,0.4779052734375,0.3900146484375,30.9539794921875,1.0410826126503674,0.06103515625,1.0435599605220747,0.0024773478717072805,0.001306163039605595,0.02,0.001306163039605595,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.00830078125,0.01025390625,1.04296875,0.0,0.0,0.0,0.4779052734375,0.3900146484375,30.9375,1.043052184235912,0.0,1.0435576758537364,0.0005054916178244273,0.0011460287552493614,0.02,0.0011460287552493614,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.0078125,0.01318359375,1.04150390625,0.0,0.0,0.0,0.4779052734375,0.3900146484375,30.926513671875,1.0416166420686759,0.0,1.0435576758537364,0.0019410337850604975,0.0013050297612115886,0.02,0.0013050297612115886,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.0048828125,0.01171875,1.0439453125,0.0,0.0,0.0,0.4833984375,0.3900146484375,30.91552734375,1.0440225028466557,0.0,1.0435571618025443,0.0004653410441113337,0.0011370920177915377,0.02,0.0011370920177915377,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.005859375,0.01025390625,1.04296875,0.0,0.0,0.0,0.4833984375,0.3900146484375,30.8990478515625,1.0430356122133784,0.0,1.0435576758537364,0.0005220636403580059,0.0010140863423048314,0.02,0.0010140863423048314,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.0068359375,0.01025390625,1.04345703125,-0.06103515625,-0.06103515625,0.0,0.4833984375,0.3900146484375,30.8880615234375,1.0435298024972508,0.08631674575031098,1.0435571618025443,2.7359305293517266e-05,0.0008167409349025686,0.02,0.0008167409349025686,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.005859375,0.01318359375,1.04345703125,0.0,0.0,0.0,0.4833984375,0.3900146484375,30.8770751953125,1.0435567619850006,0.0,1.0435566477513523,1.1423364831841809e-07,0.0006534155946517187,0.02,0.0006534155946517187,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.0068359375,0.01171875,1.044921875,-0.06103515625,0.0,0.0,0.4833984375,0.3900146484375,30.860595703125,1.0450099444486556,0.06103515625,1.0435567048681764,0.0014532395804791598,0.000813380391817207,0.02,0.000813380391817207,0,0
1783053545.1668482,2026-07-03T13:39:05.166,-0.00732421875,0.01171875,1.044921875,0.0,0.0,0.0,0.4833984375,0.3900146484375,30.849609375,1.045013252612318,0.0,1.0435567619850006,0.0014564906273173417,0.000942002438917234,0.02,0.000942002438917234,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.00830078125,0.01171875,1.04248046875,-0.1220703125,0.0,0.0,0.4833984375,0.3900146484375,30.838623046875,1.0425793781751789,0.1220703125,1.0435572189193685,0.0009778407441896064,0.0009491700999717085,0.02,0.0009491700999717085,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.00634765625,0.01123046875,1.0419921875,0.0,0.0,0.0,0.4833984375,0.3900146484375,30.8221435546875,1.0420720392464466,0.0,1.0435567619850006,0.001484722738553934,0.0010562806276881538,0.02,0.0010562806276881538,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.00634765625,0.01025390625,1.04248046875,0.06103515625,0.06103515625,0.0,0.4833984375,0.3900146484375,30.8111572265625,1.0425502208807362,0.08631674575031098,1.0435567048681764,0.0010064839874401876,0.0010463212996385607,0.02,0.0010463212996385607,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.00927734375,0.01220703125,1.0439453125,0.06103515625,0.0,0.0,0.4833984375,0.3900146484375,30.8001708984375,1.0440578988780826,0.06103515625,1.0435566477513523,0.0005012511267303843,0.0009373072650569255,0.02,0.0009373072650569255,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.00830078125,0.01318359375,1.04345703125,0.0,0.06103515625,0.0,0.4833984375,0.3900146484375,30.78369140625,1.0435733257316369,0.06103515625,1.0435567048681764,1.6620863460437008e-05,0.0007531699847376279,0.02,0.0007531699847376279,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.00537109375,0.0126953125,1.04296875,0.0,0.0,0.0,0.4833984375,0.3900146484375,30.772705078125,1.0430598415642827,0.0,1.0435567619850006,0.0004969204207179168,0.0007019200719336857,0.02,0.0007019200719336857,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.00634765625,0.01123046875,1.04248046875,0.0,0.0,0.0,0.4833984375,0.3900146484375,30.76171875,1.0425602830980243,0.0,1.0435567048681764,0.0009964217701521338,0.0007608204115773753,0.02,0.0007608204115773753,0,0
1783053545.1905696,2026-07-03T13:39:05.190,-0.0078125,0.0107421875,1.0419921875,0.0,0.0,0.0,0.4888916015625,0.3900146484375,30.750732421875,1.0420768438841592,0.0,1.0435566477513523,0.0014798038671930414,0.0009046171027005086,0.02,0.0009046171027005086,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.0078125,0.0126953125,1.0419921875,0.0,0.0,0.0,0.4888916015625,0.3900146484375,30.7342529296875,1.0420988076601747,0.0,1.0435567048681764,0.0014578972080017127,0.0010152731237607494,0.02,0.0010152731237607494,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.0068359375,0.0126953125,1.0419921875,-0.06103515625,0.0,0.0,0.4888916015625,0.3900146484375,30.7232666015625,1.042091944029898,0.06103515625,1.0435566477513523,0.0014647037214543523,0.00110515924329947,0.02,0.00110515924329947,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.00634765625,0.01123046875,1.04248046875,0.06103515625,0.06103515625,0.0,0.4888916015625,0.3900146484375,30.7122802734375,1.0425602830980243,0.08631674575031098,1.0435566477513523,0.0009963646533279746,0.001083400325305171,0.02,0.001083400325305171,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.00732421875,0.01025390625,1.0439453125,0.0,0.0,0.0,0.4888916015625,0.3900146484375,30.7012939453125,1.0440213610192104,0.0,1.0435566477513523,0.00046471326785813005,0.0009596629138157629,0.02,0.0009596629138157629,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.0068359375,0.0126953125,1.04248046875,-0.1220703125,0.0,0.0,0.4888916015625,0.3900146484375,30.684814453125,1.0425801785599975,0.1220703125,1.0435566477513523,0.0009764691913547452,0.0009630241693235593,0.02,0.0009630241693235593,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.00634765625,0.0107421875,1.04296875,0.1220703125,0.0,0.0,0.4888916015625,0.3900146484375,30.673828125,1.043043383953283,0.1220703125,1.0435566477513523,0.0005132637980691523,0.0008730720950726779,0.02,0.0008730720950726779,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.00732421875,0.0107421875,1.0419921875,0.0,0.0,0.0,0.4888916015625,0.3900146484375,30.662841796875,1.042073297606084,0.0,1.0435562479334084,0.0014829503273243727,0.000995047741523017,0.02,0.000995047741523017,0,0
1783053545.2502294,2026-07-03T13:39:05.250,-0.0078125,0.01123046875,1.04248046875,0.06103515625,0.06103515625,0.0,0.4888916015625,0.3900146484375,30.65185546875,1.0425702308764693,0.08631674575031098,1.0435558481154645,0.0009856172389952622,0.000993161641017466,0.02,0.000993161641017466,0,0
1783053545.2787118,2026-07-03T13:39:05.278,-0.0068359375,0.01220703125,1.04150390625,-0.1220703125,0.0,0.0,0.4888916015625,0.3900146484375,30.640869140625,1.0415978726876562,0.1220703125,1.0435541346079271,0.001956261920270874,0.0011857816968681477,0.02,0.0011857816968681477,0,0
1783053545.2799819,2026-07-03T13:39:05.279,-0.00732421875,0.01220703125,1.04296875,0.18310546875,0.0,0.0,0.4888916015625,0.3900146484375,30.6243896484375,1.0430658988140677,0.18310546875,1.0435541346079271,0.00048823579385937066,0.0010462725162663923,0.02,0.0010462725162663923,0,0
1783053545.2799819,2026-07-03T13:39:05.279,-0.0068359375,0.01220703125,1.04296875,-0.06103515625,0.0,0.0,0.4888916015625,0.3900146484375,30.6134033203125,1.0430625844742034,0.06103515625,1.043553849023025,0.000491264548821535,0.0009352709227774209,0.02,0.0009352709227774209,0,0
1783053545.2799819,2026-07-03T13:39:05.279,-0.0078125,0.00927734375,1.04296875,0.06103515625,0.0,0.0,0.494384765625,0.3900146484375,30.6024169921875,1.0430392695099586,0.06103515625,1.0435535634381228,0.0005142939281641556,0.0008510755238547679,0.02,0.0008510755238547679,0,0
1783053545.2799819,2026-07-03T13:39:05.279,-0.0068359375,0.01025390625,1.0439453125,0.0,0.0,0.0,0.494384765625,0.3900146484375,30.5914306640625,1.0440180497125566,0.0,1.0435528209166458,0.00046522879591082145,0.0007739061782659787,0.02,0.0007739061782659787,0,0
